statename,rank,hs6,abbrevation,val2013,val2014,val2015,val2016
Alabama,0,0,World,19301.32,19450.4,19328.18,20422.13
Alabama,0,25,Top 25,11547.14,11838.45,12072.45,13873.8
Alabama,1,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,1655.65,2727.81,3142.5,3539.26
Alabama,2,870333,PASS VEH COM-IG INT COM ENG > 2500 CC,1749.59,1621.3,1760.87,2046.18
Alabama,3,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,2612.58,1915.55,1669.7,1820.76
Alabama,4,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",592.72,595.33,605.61,862.7
Alabama,5,270112,"BITUMINOUS COAL, NOT AGGLOMERATED",1238.48,1113.65,694.61,511.24
Alabama,6,840734,SPARK-IGNTN RECPRCTING PISTON ENGINE ETC > 10,359.36,346.81,353.12,488.47
Alabama,7,870332,PASS VEH COM-IG INT COM ENG > 1500 NOV 2500 C,449.2,382.87,436.67,466.51
Alabama,8,470321,"CHEMICAL WOODPULP, SODA ETC. N DIS S BL & BL",322.22,359.73,343.68,413.47
Alabama,9,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,95.51,63.84,174.98,408.54
Alabama,10,390740,"POLYCARBONATES, PR FMS",464.94,599.5,510.04,379.32
Alabama,11,382490,"PRODUCTS AND RESIDUALS OF CHEMICAL INDUSTRY,",433.43,263.1,184.65,350.53
Alabama,12,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,20.77,38.69,121.46,320.54
Alabama,13,120190,"SOYBEANS, NESOI",29.5,221.41,244.32,288.9
Alabama,14,481039,"KRAFT PPR/PBRD EX GRAPHIC, CLAY CTD UNBLCH RL",115.48,0.8512,0.5777,253.03
Alabama,15,870830,BRAKES AND SERVO-BREAKS; PARTS THEREOF,119.72,180.25,284.56,247.62
Alabama,16,721913,FR SS 600MM AO W HR CLS 3-UN 4.75MM THCK,25.94,118.38,60.04,218.01
Alabama,17,760612,"ALUMINUM ALLOY RECT PLATES ETC, OVER .2 MM TH",164.28,112.37,238.71,190.44
Alabama,18,900120,SHEETS AND PLATES OF POLARIZING MATERIAL,236.41,264.81,138.13,166.29
Alabama,19,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F",350.3,262.44,168.06,160.12
Alabama,20,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",105.34,97.65,123.58,132.51
Alabama,21,381519,"SUPPORTED CATALYSTS, NESOI",55.72,70.1,115.71,130.65
Alabama,22,293090,ORGANO-SULFUR COMPOUNDS NESOI,185.62,174.19,137.83,126.58
Alabama,23,440710,"CONIFEROUS WOOD SAWN, SLICED ETC, OVER 6 MM T",94.31,116.39,125.28,121.62
Alabama,24,722592,FLT-RLD ALLOY STL NESOI 600AO PLT/CTD ZINC NT,56.28,91.51,133.7,118.39
Alabama,25,940190,"PARTS OF SEATS (EX MEDICAL, BARBER, DENTAL ET",13.77,22.09,92.15,112.13
Alaska,0,0,World,4527.82,5111.16,4619.7,4347.5
Alaska,0,25,Top 25,4252.99,4534.47,4201.57,4114.39
Alaska,1,260800,ZINC ORES AND CONCENTRATES,813.8,1067.97,887.19,846.4
Alaska,2,30499,"FISH MEAT, FROZEN, NESOI",341.21,347.22,374.36,398.55
Alaska,3,260700,LEAD ORES AND CONCENTRATES,389.33,367.49,327.5,382.91
Alaska,4,30475,"ALASKA POLLOCK FILLETS, FROZEN",283.59,319.01,298.85,294.62
Alaska,5,30389,"FISH, FROZEN, NESOI",251.23,269.84,246.01,254.99
Alaska,6,30363,"COD, FROZEN",231.44,252.61,267.49,251.15
Alaska,7,30390,"FISH LIVERS AND ROES, FROZEN",245.68,224.69,255.61,177.32
Alaska,8,30311,"SOCKEYE SALMON, FROZEN",60.57,93.85,134.94,162.28
Alaska,9,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,285.03,176.15,162.51,149.78
Alaska,10,30339,"FLAT FISH NESOI EXCEPT FILLETS, LIVERS,  ROES",161.41,163.67,139.07,148.5
Alaska,11,261690,"PRECIOUS METAL ORES & CONCENTRATES, EXCEPT SI",140.29,139.94,154.12,148
Alaska,12,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,50.44,73.9,58.18,146.75
Alaska,13,260300,COPPER ORES AND CONCENTRATES,150.2,186.47,98.97,145.74
Alaska,14,30312,"PACIFIC SALMON, FROZEN, NESOI",257.67,208.27,281.52,137.95
Alaska,15,230120,FLOUR MEAL & PELLET OF FISH CRUSTACEANS ETC I,77.18,100.46,100.3,96.44
Alaska,16,440320,"CONIFEROUS WOOD IN THE ROUGH, NOT TREATED",162.55,122.53,89.92,92.84
Alaska,17,30367,"ALASKA POLLOCK, FROZEN",111.68,131.54,98.67,89.53
Alaska,18,30614,"CRABS, INCLUDING IN SHELL, FROZEN",99.25,97.34,101.53,65.92
Alaska,19,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",46.16,103.81,46.81,28.28
Alaska,20,30351,"HERRINGS, FROZEN",45.17,38.39,24.43,22.61
Alaska,21,30213,"PACIFIC SALMON, FRESH OR CHILLED",21.15,19.09,17.07,17.94
Alaska,22,30481,"PACIFIC, ATLANTIC AND DANUBE SALMON FILLETS F",3.13,6.66,10.1,16.97
Alaska,23,30221,"HALIBUT/GREENLAND TURBOT EX FILLET, LVR, ROE",18.25,11.68,14.48,14.82
Alaska,24,711299,WASTE AND SCRAP OF PRECIOUS METAL NESOI,0,0.07,0.12,12.4
Alaska,25,150420,"FISH FATS & OILS (NOT LIVER), FRACT, NOT MODI",6.56,11.83,11.81,11.69
Arizona,0,0,World,19478.29,21247.28,22655.35,22016.24
Arizona,0,25,Top 25,9189.97,10330.71,11577.34,11345.89
Arizona,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2774.14,2225.74,2967.9,2256.81
Arizona,2,260300,COPPER ORES AND CONCENTRATES,1547.69,2177.73,2502.45,1725.58
Arizona,3,880212,HELICOPTERS OF AN UNLADEN WEIGHT EXCEEDING 20,5.28,141.47,66.36,1009.11
Arizona,4,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",1152.09,878.44,1051.37,826.05
Arizona,5,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",646.31,749.12,693.54,814.02
Arizona,6,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,414.6,412.71,354.25,559.64
Arizona,7,853890,PT F ELECT APPR F ELECT CIRCT; F ELCT CONTRL,345.13,401.5,404.9,428.4
Arizona,8,854150,SEMICNDCTR DVICE EX PHOTOSENSITIVE/PHOTOVOLTA,44.77,345.37,427.62,428.02
Arizona,9,271121,"NATURAL GAS, GASEOUS",540.04,629.1,373.16,391.37
Arizona,10,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,228.47,270.61,331.72,381.09
Arizona,11,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000,189.81,192.52,208.95,235.11
Arizona,12,902139,ARTIFICIAL JOINTS & PARTS & ACCESSORIES THERO,185.32,232.79,204.79,222.31
Arizona,13,853710,CONTROLS ETC W ELECT APPR F ELECT CONT NOV 10,106.82,197.36,192.74,216.62
Arizona,14,841111,TURBOJETS OF A THRUST NOT EXCEEDING 25 KN,19.11,171.87,258.5,197.83
Arizona,15,902190,OTH ARTIFICAL PTS OF THE BODY & PTS & ACCESSO,19.84,29.64,78.99,173.13
Arizona,16,853690,ELECT APPR F PRTCT TO ELECT CIRCT NOV 1000 V,131.96,135.11,157.73,168.91
Arizona,17,853400,PRINTED CIRCUITS,61.95,71.3,80.36,161.34
Arizona,18,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,89.21,111.13,124.46,160.44
Arizona,19,392690,"ARTICLES OF PLASTICS, NESOI",146.88,178.51,175.04,158.17
Arizona,20,300490,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK",112.81,214.79,256.71,156.32
Arizona,21,870829,"PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NES",10.09,79.17,139.75,147.7
Arizona,22,847150,"DIGITAL PROCESSING UNITS, N.E.S.O.I.",151.25,154.98,140.84,140.75
Arizona,23,903289,"AUTO REGULATING INS & APPR EX THROSTAT,MNSTAT",75.2,105.48,138.85,138.31
Arizona,24,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",102.17,85.24,122.95,127.72
Arizona,25,210690,FOOD PREPARATIONS NESOI,89.02,139.04,123.42,121.14
Arkansas,0,0,World,7160.84,6866.25,5869.47,5707.47
Arkansas,0,25,Top 25,3871.39,3615.77,2957.84,3203.06
Arkansas,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",1843.92,1628.12,791.25,1082.82
Arkansas,2,853669,ELECT PLUGS & SOCKETS F VOLTAGE NOT OVER 1000,99.87,229.49,428.7,185.6
Arkansas,3,40711,"EGGS OF CHICKENS, FERTILIZED FOR INCUBATION",83.93,100.99,136.31,174.27
Arkansas,4,930690,BOMB MINES OT AMMNTION PROJCTIONS ETC AND PAR,120.42,75.49,97.88,168.69
Arkansas,5,481151,"PPR/PBRD,CTD/IMPG/CVR W/PLAST,BLEACH,WT>150G/",145.59,173.91,179.51,161.54
Arkansas,6,100630,"RICE, SEMI- OR WHOLLY MILLED, POLISHED ETC OR",173.76,179.85,165.15,152.35
Arkansas,7,20714,"CHICKEN CUTS AND EDIBLE OFFAL (INC LIVERS), F",242.95,212.79,120.55,149.9
Arkansas,8,390390,"POLYMERS OF STYRENE NESOI, IN PRIMARY FORMS",57.37,80.74,80.8,113.07
Arkansas,9,293090,ORGANO-SULFUR COMPOUNDS NESOI,125.97,115.45,134.53,110.2
Arkansas,10,290399,"HALOGENATED DERIV OF AROMATIC HYDROCARBONS, N",74.35,78.08,71.62,89.7
Arkansas,11,100610,RICE IN THE HUSK (PADDY OR ROUGH),62.28,27.74,56.95,67.85
Arkansas,12,210690,FOOD PREPARATIONS NESOI,18.2,53.78,48.73,66.49
Arkansas,13,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,99.37,111.18,79.69,59.79
Arkansas,14,20713,CHICKEN CUTS & EDIBLE OFFAL (INCL LIVER) FRSH,66.33,55.27,54.63,59.72
Arkansas,15,850152,"AC MOTORS,MULTI-PHASE;OUTPUT > 750W NOT OVER",77.39,69.68,74.77,59.67
Arkansas,16,290819,"DERIV. CONT. ONLY HALOGEN SUBSTIT. & SALTS, N",46.09,47.37,41.46,59.52
Arkansas,17,400821,"PLATES OF VULCANIZED RUB, OF NONCELLULAR RUBB",45.68,52.08,49.33,57.07
Arkansas,18,100199,"WHEAT AND MESLIN, NESOI",19.98,23.75,37.01,56.08
Arkansas,19,520100,"COTTON, NOT CARDED OR COMBED",156.03,66.8,79.16,54.21
Arkansas,20,340111,"SOAP & OTH ORGANIC SURF ACT PROD, TOILET USE,",37.46,32.78,47.13,49.24
Arkansas,21,841582,AIR CONDITIONING MACH ETC INCORP REFRIG UNIT,44.76,47.46,49.22,47.67
Arkansas,22,870880,SUSPENSION SHOCK ABSORBERS FOR MOTOR VEHICLES,66.3,62.6,53.66,47.53
Arkansas,23,721633,"H SECTIONS IRN/NAS, HOT-WRKD, 80MM HI OR MORE",110.03,70.51,46.46,44.62
Arkansas,24,860691,"RAILWAY OR TRMWY CARS, COVERED, CLOSED NESOI",0,0,0,42.98
Arkansas,25,871639,TRAILERS & SEMI-TRAILER F TRANS CDS NESOI,53.34,19.88,33.33,42.48
California,0,0,World,168191.55,173868.59,165379.58,163512.85
California,0,25,Top 25,54400.57,58554.1,57043.15,59910.27
California,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",7508.29,7504.3,6785.55,7346.83
California,2,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,4755.63,5307.68,6289.05,6969.49
California,3,710239,"DIAMONDS, NONINDUSTRIAL, WORKED",5580.71,5367.18,4582.34,5514.5
California,4,848620,MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC I,2232.3,2670.53,3260.71,3322.07
California,5,80212,"ALMONDS, FRESH OR DRIED, SHELLED",3165.69,3504.76,3730.26,3213.98
California,6,851712,PHONES FOR CELLULAR NTWKS OR FOR OTH WIRELESS,2275.48,2267.58,2502.79,2578.16
California,7,300210,"ANTISERA, BLOOD FRACTIONS & IMMUNOLOGICAL PRO",2466.54,3190.74,2775.67,2564.1
California,8,880260,SPACECRAFT & SUBORBITAL AND SPACE LAUNCH VEHI,734.01,559.91,2037.77,2410.31
California,9,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",1949.39,1929.02,1982.44,2132.02
California,10,870390,"PASSENGER MOTOR VEHICLES, NESOI",600.06,1353.96,1277.32,2037.77
California,11,382200,"COMPOSITE DIAGNOSTIC/LAB REAGENTS, EXC PHARMA",1559.92,1620.22,1702.73,1980.56
California,12,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",2142.42,2115.68,1995.43,1930.29
California,13,847330,PARTS & ACCESSORIES FOR ADP MACHINES & UNITS,2142.54,2137.84,2096.54,1924.37
California,14,870323,PASS VEH SPK-IG INT COM RCPR P ENG >1500 NOV,1775.83,2286.6,1805.86,1851.59
California,15,870324,PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC,1155.59,1852.17,1490.42,1632.32
California,16,271019,PETROL OIL BITUM MINERAL (NT CRUD) ETC NT BIO,4051.54,4787.68,2980.17,1613.65
California,17,848690,"PARTS & ACCSESORIES FOR MACH TO MAN. SEMICNT,",1095.12,1007.45,1304.8,1509.09
California,18,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",1602.74,1581.49,1451.95,1309.46
California,19,847130,PORT DIGTL AUTOMATIC DATA PROCESS MACH NOT >,1994.98,1903.04,1583.17,1266.64
California,20,760421,ALUMINUM ALLOY HOLLOW PROFILES,14.26,11.95,34.09,1217.48
California,21,220421,"WINE, FR GRAPE NESOI & GR MUST W ALC, NOV 2 L",1129.99,1061.82,1149.64,1158.29
California,22,847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.",1260.39,1332.43,1205.8,1144.27
California,23,880330,"PARTS OF AIRPLANES OR HELICOPTERS, NESOI",1245.48,1257.99,1039.01,1138.75
California,24,210690,FOOD PREPARATIONS NESOI,1077.23,1066.19,1019.28,1105.12
California,25,80211,"ALMONDS, FRESH OR DRIED, IN SHELL",884.45,875.88,960.36,1039.16
Colorado,0,0,World,8545.01,8363.71,7950.33,7580.28
Colorado,0,25,Top 25,3217.07,3290.51,3055.24,3256.33
Colorado,1,854239,"ELECTRONIC INTEGRATED CIRCUITS, NESOI",251.26,304.9,373.42,389.84
Colorado,2,20130,"MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CH",382.08,439.34,345.95,387.67
Colorado,3,901890,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, N",312.31,343,289.7,305.23
Colorado,4,20230,"MEAT OF BOVINE ANIMALS, BONELESS, FROZEN",204.56,239.43,217,200.21
Colorado,5,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",276.07,251.23,170.89,186.1
Colorado,6,902110,"ORTHOPEDIC OR FRACTRE APPLIANCES, PARTS & ACC",247.13,136.27,135.82,163.11
Colorado,7,410150,"WHOLE HIDES & SKINS, OF A WT >16KG BOVINE/EQU",143.63,200.28,170.81,160.53
Colorado,8,370110,"X-RAY PLATES & FLAT FILM, SENS, UNEX",70.63,129.34,157.58,129.52
Colorado,9,20319,"MEAT OF SWINE, NESOI, FRESH OR CHILLED",85.04,64.29,54.77,129.12
Colorado,10,854231,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG",141.53,135.34,100.96,111.25
Colorado,11,854233,"AMPLIFIERS, ELECTRONIC INTEGRATED CIRCUITS",85.61,79.54,57.05,88.42
Colorado,12,902750,INSTRUMENTS ETC USING OPTICAL RADIATIONS NESO,92.01,76.25,84.17,87.94
Colorado,13,20220,"MEAT, BOVINE CUTS WITH BONE IN, FROZEN",92.4,114.9,83.36,86.55
Colorado,14,420299,"CONTAINER BAGS, CASES ETC NESOI",64.34,73.85,79.64,85.68
Colorado,15,370210,"X-RAY FILM IN ROLLS, SENS, UNEX, NO PAPER ETC",219.01,173.38,126.83,79.7
Colorado,16,902680,"INST MEASURE/CHECKING VARIABLE OF LIQ/GASES,",44.25,31.23,42.66,77.68
Colorado,17,848180,TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL,69.52,75.02,68.01,76.82
Colorado,18,220290,"NONALCOHOLIC BEVERAGES, NESOI",21.26,48.19,76.35,72.7
Colorado,19,681389,"OTH FRICTION MATERL,  OTH MINRLS, CELLULS,NES",52.49,63.96,82.53,71.71
Colorado,20,761290,"CASKS ETC, NOT OVER 300 LITER CAP NESOI, ALUM",15.69,11.39,59.6,69.79
Colorado,21,270900,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINER,111.88,55.35,39.16,60.49
Colorado,22,851762,MACH FOR RECP/CONVR/TRANS/REGN OF VOICE/IMAGE,45.47,39.99,63.33,59.92
Colorado,23,830990,"STOPPERS, CAPS, LIDS, SEALS ETC NES, PRTS, BS",2.46,11.22,24.02,59.55
Colorado,24,844399,"PTS & ACC OF PRINTERS, COPIERS AND FAX MACH,",28.81,29.25,31.59,58.87
Colorado,25,261390,MOLYBDENUM ORES AND CONCENTRATES NOT ROASTED,157.63,163.58,120.02,57.92
Connecticut,0,0,World,16426.68,15962.84,15242.37,14394.22
Connecticut,0,25,Top 25,8809.63,8477.8,8390.44,7944.72
Connecticut,1,880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",7072.55,6569.34,6503.62,5867.67
